,week,PortCountry_Benin,PortCountry_Cameroon,PortCountry_Côte dIvoire,PortCountry_Democratic Republic of the Congo,PortCountry_Djibouti,PortCountry_Egypt,PortCountry_Gabon,PortCountry_Ghana,PortCountry_Guinea,PortCountry_Kenya,PortCountry_Liberia,PortCountry_Madagascar,PortCountry_Morocco,PortCountry_Mozambique,PortCountry_Namibia,PortCountry_Republic of the Congo,PortCountry_Senegal,PortCountry_Somalia,PortCountry_South Africa,PortCountry_Tanzania,PortCountry_Togo,EventType_arrival,EventType_departure,VesselTypeGroup_Cargo Vessels,VesselTypeGroup_Dredgers,VesselTypeGroup_Fishing & Research Vessels,VesselTypeGroup_Military,VesselTypeGroup_Offshore Support & Work Vessels,VesselTypeGroup_Passenger & Pleasure Craft,VesselTypeGroup_Specialized Service Vessels,VesselTypeGroup_Tankers,VesselTypeGroup_Tugs & Towage,VesselTypeGroup_Unspecified/Others,VesselFlagRegion_Africa,VesselFlagRegion_Americas,VesselFlagRegion_Asia,VesselFlagRegion_Europe,VesselFlagRegion_Oceania,VesselBuiltYear_1925-1949,VesselBuiltYear_1950-1974,VesselBuiltYear_1975-1999,VesselBuiltYear_2000-2024,VesselAvgArea,VesselAvgGt,VesselAvgSog,sentiment_score,BURADIENE RUBBER,TIN,CRUDE OIL,SILVER,COPPER(BC),STEEL WIRE ROD,LSFO,HOT ROLLED COIL,NICKEL,STEEL REBAR,WOODPULP,FUEL OIL,ALUMINIUM OXIDE,LEAD,STAINLESS STEEL,NATURAL RUBBER,ZINC,TSR20,GOLD,BITUMEN,SCFIS,ALUMINIUM,COPPER,BURADIENE RUBBER_lag1,TIN_lag1,CRUDE OIL_lag1,SILVER_lag1,COPPER(BC)_lag1,STEEL WIRE ROD_lag1,LSFO_lag1,HOT ROLLED COIL_lag1,NICKEL_lag1,STEEL REBAR_lag1,WOODPULP_lag1,FUEL OIL_lag1,ALUMINIUM OXIDE_lag1,LEAD_lag1,STAINLESS STEEL_lag1,NATURAL RUBBER_lag1,ZINC_lag1,TSR20_lag1,GOLD_lag1,BITUMEN_lag1,SCFIS_lag1,ALUMINIUM_lag1,COPPER_lag1,BURADIENE RUBBER_lag2,TIN_lag2,CRUDE OIL_lag2,SILVER_lag2,COPPER(BC)_lag2,STEEL WIRE ROD_lag2,LSFO_lag2,HOT ROLLED COIL_lag2,NICKEL_lag2,STEEL REBAR_lag2,WOODPULP_lag2,FUEL OIL_lag2,ALUMINIUM OXIDE_lag2,LEAD_lag2,STAINLESS STEEL_lag2,NATURAL RUBBER_lag2,ZINC_lag2,TSR20_lag2,GOLD_lag2,BITUMEN_lag2,SCFIS_lag2,ALUMINIUM_lag2,COPPER_lag2,BURADIENE RUBBER_lag3,TIN_lag3,CRUDE OIL_lag3,SILVER_lag3,COPPER(BC)_lag3,STEEL WIRE ROD_lag3,LSFO_lag3,HOT ROLLED COIL_lag3,NICKEL_lag3,STEEL REBAR_lag3,WOODPULP_lag3,FUEL OIL_lag3,ALUMINIUM OXIDE_lag3,LEAD_lag3,STAINLESS STEEL_lag3,NATURAL RUBBER_lag3,ZINC_lag3,TSR20_lag3,GOLD_lag3,BITUMEN_lag3,SCFIS_lag3,ALUMINIUM_lag3,COPPER_lag3
0,2024-01-01 to 2024-01-07,48,48,103,6,57,65,52,78,23,0,15,38,123,141,109,0,207,10,408,132,55,866,852,624,36,3,0,14,269,103,118,424,127,816,394,211,200,97,0,4,138,587,2655.0401629802095,22959.88888888889,10.913662790697675,0.3844708994708995,12834.444444444445,210319.0,556.5333333333333,6061.333333333333,61422.5,4224.0,4083.625,4124.75,127815.83333333333,4019.9166666666665,5820.833333333333,2949.0,3403.25,15958.636363636364,13839.583333333334,14219.0,21377.5,11370.555555555555,484.49,3721.4,1603.26,19589.166666666668,68767.5,12183.888888888889,205648.33333333334,552.02,5919.166666666667,60626.666666666664,4140.5,4035.75,4031.5,124979.16666666667,3922.8333333333335,5802.666666666667,2960.5833333333335,3318.9166666666665,16127.916666666666,13662.916666666666,13512.0,21035.0,10895.714285714286,482.6375,3670.0,1902.7,19068.75,68064.16666666667,12435.0,209291.66666666666,556.9909090909091,5993.5,60067.5,4097.0,4051.8333333333335,4005.2,127505.83333333333,3875.75,5720.833333333333,2922.75,3242.6666666666665,16162.5,13884.166666666666,13838.5,21031.363636363636,11207.5,482.495,3690.6,1769.3400000000001,18817.083333333332,67496.66666666667,12253.5,213570.0,557.6714285714286,5763.25,60205.0,4100.0,4122.875,3999.2727272727275,126555.83333333333,3863.3333333333335,5675.833333333333,2920.5833333333335,3179.3333333333335,16313.75,14123.75,13712.5,20537.5,11214.285714285714,479.885,3706.5833333333335,1676.7,18633.333333333332,67685.83333333333
1,2024-01-08 to 2024-01-14,27,61,108,8,47,67,67,77,23,0,18,86,139,154,184,0,168,15,416,133,72,926,944,702,93,24,0,19,264,107,148,393,119,841,440,226,233,129,0,3,165,622,3097.836811128946,23764.311392405063,10.464195979899497,0.2812755102040816,12183.888888888889,205648.33333333334,552.02,5919.166666666667,60626.666666666664,4140.5,4035.75,4031.5,124979.16666666667,3922.8333333333335,5802.666666666667,2960.5833333333335,3318.9166666666665,16127.916666666666,13662.916666666666,13512.0,21035.0,10895.714285714286,482.6375,3670.0,1902.7,19068.75,68064.16666666667,12435.0,209291.66666666666,556.9909090909091,5993.5,60067.5,4097.0,4051.8333333333335,4005.2,127505.83333333333,3875.75,5720.833333333333,2922.75,3242.6666666666665,16162.5,13884.166666666666,13838.5,21031.363636363636,11207.5,482.495,3690.6,1769.3400000000001,18817.083333333332,67496.66666666667,12253.5,213570.0,557.6714285714286,5763.25,60205.0,4100.0,4122.875,3999.2727272727275,126555.83333333333,3863.3333333333335,5675.833333333333,2920.5833333333335,3179.3333333333335,16313.75,14123.75,13712.5,20537.5,11214.285714285714,479.885,3706.5833333333335,1676.7,18633.333333333332,67685.83333333333,12731.666666666666,216865.83333333334,570.2294117647059,5923.75,61595.0,4134.0,4279.272727272727,3976.0833333333335,126452.5,3846.5833333333335,5739.666666666667,3017.4615384615386,3175.9166666666665,16156.666666666666,13728.333333333334,13547.5,20726.25,11160.555555555555,483.71500000000003,3690.875,1571.8600000000001,18762.5,68703.33333333333
2,2024-01-15 to 2024-01-21,125,47,114,5,46,95,70,89,24,333,14,38,93,131,172,327,227,9,364,139,59,1232,1289,763,219,21,2,17,325,148,158,481,387,1020,551,302,471,123,0,8,249,708,2989.379214597382,23786.60932642487,10.642542016806724,0.47324263038548753,12435.0,209291.66666666666,556.9909090909091,5993.5,60067.5,4097.0,4051.8333333333335,4005.2,127505.83333333333,3875.75,5720.833333333333,2922.75,3242.6666666666665,16162.5,13884.166666666666,13838.5,21031.363636363636,11207.5,482.495,3690.6,1769.3400000000001,18817.083333333332,67496.66666666667,12253.5,213570.0,557.6714285714286,5763.25,60205.0,4100.0,4122.875,3999.2727272727275,126555.83333333333,3863.3333333333335,5675.833333333333,2920.5833333333335,3179.3333333333335,16313.75,14123.75,13712.5,20537.5,11214.285714285714,479.885,3706.5833333333335,1676.7,18633.333333333332,67685.83333333333,12731.666666666666,216865.83333333334,570.2294117647059,5923.75,61595.0,4134.0,4279.272727272727,3976.0833333333335,126452.5,3846.5833333333335,5739.666666666667,3017.4615384615386,3175.9166666666665,16156.666666666666,13728.333333333334,13547.5,20726.25,11160.555555555555,483.71500000000003,3690.875,1571.8600000000001,18762.5,68703.33333333333,12667.777777777777,211430.0,551.6727272727272,5861.583333333333,61022.0,4041.0,4111.142857142857,3941.4545454545455,125169.16666666667,3810.0,5679.333333333333,2929.9166666666665,3138.7272727272725,16171.666666666666,13632.916666666666,13561.5,20394.583333333332,11116.666666666666,482.42749999999995,3672.923076923077,1451.2,18638.333333333332,68312.5
3,2024-01-22 to 2024-01-28,179,58,105,5,42,60,71,94,24,520,8,42,124,135,92,549,168,11,1265,96,61,1857,1852,884,420,46,29,36,843,338,151,449,513,1879,586,336,649,160,0,4,351,843,2365.6241574548394,21695.709515859766,10.82088888888889,0.5278980278980279,12253.5,213570.0,557.6714285714286,5763.25,60205.0,4100.0,4122.875,3999.2727272727275,126555.83333333333,3863.3333333333335,5675.833333333333,2920.5833333333335,3179.3333333333335,16313.75,14123.75,13712.5,20537.5,11214.285714285714,479.885,3706.5833333333335,1676.7,18633.333333333332,67685.83333333333,12731.666666666666,216865.83333333334,570.2294117647059,5923.75,61595.0,4134.0,4279.272727272727,3976.0833333333335,126452.5,3846.5833333333335,5739.666666666667,3017.4615384615386,3175.9166666666665,16156.666666666666,13728.333333333334,13547.5,20726.25,11160.555555555555,483.71500000000003,3690.875,1571.8600000000001,18762.5,68703.33333333333,12667.777777777777,211430.0,551.6727272727272,5861.583333333333,61022.0,4041.0,4111.142857142857,3941.4545454545455,125169.16666666667,3810.0,5679.333333333333,2929.9166666666665,3138.7272727272725,16171.666666666666,13632.916666666666,13561.5,20394.583333333332,11116.666666666666,482.42749999999995,3672.923076923077,1451.2,18638.333333333332,68312.5,12960.5,217672.5,578.3916666666668,5953.083333333333,60792.5,4073.0,4315.375,3921.3333333333335,126346.66666666667,3799.2727272727275,5743.666666666667,3025.6666666666665,3129.777777777778,15820.0,13629.166666666666,13624.444444444445,20129.166666666668,11118.333333333334,481.72499999999997,3716.4285714285716,1646.4599999999998,18599.583333333332,68145.83333333333
4,2024-01-29 to 2024-02-04,128,41,94,5,55,54,42,91,24,148,8,38,120,162,97,124,173,16,569,83,62,1061,1073,656,168,17,4,16,264,212,160,435,202,953,493,200,341,120,0,1,242,647,2963.5515463917527,21738.18988764045,10.959165613147915,0.4540959790959791,12731.666666666666,216865.83333333334,570.2294117647059,5923.75,61595.0,4134.0,4279.272727272727,3976.0833333333335,126452.5,3846.5833333333335,5739.666666666667,3017.4615384615386,3175.9166666666665,16156.666666666666,13728.333333333334,13547.5,20726.25,11160.555555555555,483.71500000000003,3690.875,1571.8600000000001,18762.5,68703.33333333333,12667.777777777777,211430.0,551.6727272727272,5861.583333333333,61022.0,4041.0,4111.142857142857,3941.4545454545455,125169.16666666667,3810.0,5679.333333333333,2929.9166666666665,3138.7272727272725,16171.666666666666,13632.916666666666,13561.5,20394.583333333332,11116.666666666666,482.42749999999995,3672.923076923077,1451.2,18638.333333333332,68312.5,12960.5,217672.5,578.3916666666668,5953.083333333333,60792.5,4073.0,4315.375,3921.3333333333335,126346.66666666667,3799.2727272727275,5743.666666666667,3025.6666666666665,3129.777777777778,15820.0,13629.166666666666,13624.444444444445,20129.166666666668,11118.333333333334,481.72499999999997,3716.4285714285716,1646.4599999999998,18599.583333333332,68145.83333333333,13134.583333333334,218054.16666666666,569.8777777777777,5912.833333333333,61150.0,4126.5,4285.8,3865.3333333333335,136973.33333333334,3748.25,5901.666666666667,3031.0,3174.8333333333335,15981.666666666666,13938.75,14061.5,20345.833333333332,11785.833333333334,485.22249999999997,3654.5714285714284,1379.1166666666668,18733.75,68515.0
5,2024-02-05 to 2024-02-11,194,52,114,6,49,64,53,82,28,0,16,66,122,120,109,97,210,12,553,134,62,1067,1076,724,294,7,1,29,217,132,180,403,156,950,488,242,350,107,0,4,248,765,3251.395240317312,20600.812192723697,11.17061403508772,0.6217086834733894,12667.777777777777,211430.0,551.6727272727272,5861.583333333333,61022.0,4041.0,4111.142857142857,3941.4545454545455,125169.16666666667,3810.0,5679.333333333333,2929.9166666666665,3138.7272727272725,16171.666666666666,13632.916666666666,13561.5,20394.583333333332,11116.666666666666,482.42749999999995,3672.923076923077,1451.2,18638.333333333332,68312.5,12960.5,217672.5,578.3916666666668,5953.083333333333,60792.5,4073.0,4315.375,3921.3333333333335,126346.66666666667,3799.2727272727275,5743.666666666667,3025.6666666666665,3129.777777777778,15820.0,13629.166666666666,13624.444444444445,20129.166666666668,11118.333333333334,481.72499999999997,3716.4285714285716,1646.4599999999998,18599.583333333332,68145.83333333333,13134.583333333334,218054.16666666666,569.8777777777777,5912.833333333333,61150.0,4126.5,4285.8,3865.3333333333335,136973.33333333334,3748.25,5901.666666666667,3031.0,3174.8333333333335,15981.666666666666,13938.75,14061.5,20345.833333333332,11785.833333333334,485.22249999999997,3654.5714285714284,1379.1166666666668,18733.75,68515.0,13086.25,218915.0,578.4714285714285,5979.25,61491.666666666664,4032.0,4305.777777777777,3859.8333333333335,136609.16666666666,3746.9166666666665,5877.5,3069.1666666666665,3164.4166666666665,15974.545454545454,13887.916666666666,14002.0,20365.416666666668,11705.555555555555,490.85,3654.153846153846,1415.0,18799.166666666668,68712.5
6,2024-02-19 to 2024-02-25,160,40,107,9,33,68,63,67,29,211,4,50,117,124,87,330,211,8,792,135,56,1341,1360,761,132,25,4,36,580,202,178,444,339,1351,513,264,451,120,1,7,219,759,2359.2265827471306,20793.88032454361,11.18361469712016,0.3873015873015873,12960.5,217672.5,578.3916666666668,5953.083333333333,60792.5,4073.0,4315.375,3921.3333333333335,126346.66666666667,3799.2727272727275,5743.666666666667,3025.6666666666665,3129.777777777778,15820.0,13629.166666666666,13624.444444444445,20129.166666666668,11118.333333333334,481.72499999999997,3716.4285714285716,1646.4599999999998,18599.583333333332,68145.83333333333,13134.583333333334,218054.16666666666,569.8777777777777,5912.833333333333,61150.0,4126.5,4285.8,3865.3333333333335,136973.33333333334,3748.25,5901.666666666667,3031.0,3174.8333333333335,15981.666666666666,13938.75,14061.5,20345.833333333332,11785.833333333334,485.22249999999997,3654.5714285714284,1379.1166666666668,18733.75,68515.0,13086.25,218915.0,578.4714285714285,5979.25,61491.666666666664,4032.0,4305.777777777777,3859.8333333333335,136609.16666666666,3746.9166666666665,5877.5,3069.1666666666665,3164.4166666666665,15974.545454545454,13887.916666666666,14002.0,20365.416666666668,11705.555555555555,490.85,3654.153846153846,1415.0,18799.166666666668,68712.5,13270.454545454546,220023.33333333334,578.7166666666667,6152.333333333333,61807.5,4044.5,4202.4,3776.9166666666665,137533.33333333334,3626.8333333333335,6030.0,3071.5,3184.7272727272725,16214.0,13736.666666666666,14269.0,20966.666666666668,11828.0,509.2228571428572,3616.076923076923,1388.5833333333333,18969.583333333332,69205.0
7,2024-02-26 to 2024-03-03,55,54,139,24,49,104,58,92,30,790,10,46,202,135,83,219,133,19,1055,167,68,1756,1776,901,39,43,19,32,984,275,213,464,562,2123,571,292,364,151,0,4,199,864,2406.1237259343147,23727.184629803185,9.8145285935085,0.5122335211957854,13134.583333333334,218054.16666666666,569.8777777777777,5912.833333333333,61150.0,4126.5,4285.8,3865.3333333333335,136973.33333333334,3748.25,5901.666666666667,3031.0,3174.8333333333335,15981.666666666666,13938.75,14061.5,20345.833333333332,11785.833333333334,485.22249999999997,3654.5714285714284,1379.1166666666668,18733.75,68515.0,13086.25,218915.0,578.4714285714285,5979.25,61491.666666666664,4032.0,4305.777777777777,3859.8333333333335,136609.16666666666,3746.9166666666665,5877.5,3069.1666666666665,3164.4166666666665,15974.545454545454,13887.916666666666,14002.0,20365.416666666668,11705.555555555555,490.85,3654.153846153846,1415.0,18799.166666666668,68712.5,13270.454545454546,220023.33333333334,578.7166666666667,6152.333333333333,61807.5,4044.5,4202.4,3776.9166666666665,137533.33333333334,3626.8333333333335,6030.0,3071.5,3184.7272727272725,16214.0,13736.666666666666,14269.0,20966.666666666668,11828.0,509.2228571428572,3616.076923076923,1388.5833333333333,18969.583333333332,69205.0,14107.916666666666,229243.63636363635,596.7666666666668,6324.75,64870.0,3850.5,4407.2,3706.5,140310.0,3543.9166666666665,6073.454545454545,3224.8333333333335,3278.25,16240.833333333334,13884.583333333334,15844.0,21130.833333333332,12937.222222222223,505.525,3657.5,1409.3333333333333,19086.666666666668,72689.16666666667
8,2024-03-04 to 2024-03-10,18,25,64,6,26,108,47,45,12,0,3,20,103,74,46,49,79,12,243,82,29,535,556,438,21,4,4,7,125,65,118,199,110,429,251,150,170,88,0,5,66,464,3312.6241979835013,23555.457943925234,11.602642276422765,0.5749719030969032,13086.25,218915.0,578.4714285714285,5979.25,61491.666666666664,4032.0,4305.777777777777,3859.8333333333335,136609.16666666666,3746.9166666666665,5877.5,3069.1666666666665,3164.4166666666665,15974.545454545454,13887.916666666666,14002.0,20365.416666666668,11705.555555555555,490.85,3654.153846153846,1415.0,18799.166666666668,68712.5,13270.454545454546,220023.33333333334,578.7166666666667,6152.333333333333,61807.5,4044.5,4202.4,3776.9166666666665,137533.33333333334,3626.8333333333335,6030.0,3071.5,3184.7272727272725,16214.0,13736.666666666666,14269.0,20966.666666666668,11828.0,509.2228571428572,3616.076923076923,1388.5833333333333,18969.583333333332,69205.0,14107.916666666666,229243.63636363635,596.7666666666668,6324.75,64870.0,3850.5,4407.2,3706.5,140310.0,3543.9166666666665,6073.454545454545,3224.8333333333335,3278.25,16240.833333333334,13884.583333333334,15844.0,21130.833333333332,12937.222222222223,505.525,3657.5,1409.3333333333333,19086.666666666668,72689.16666666667,13593.333333333334,226776.66666666666,606.3538461538462,6357.333333333333,64420.0,3879.3333333333335,4421.5,3780.5,134106.66666666666,3597.8333333333335,6200.166666666667,3294.9166666666665,3250.9166666666665,16229.545454545454,13585.416666666666,14750.5,20992.5,12173.0,514.9599999999999,3675.2,1654.1666666666667,19325.416666666668,72352.5
9,2024-03-11 to 2024-03-17,42,45,77,8,42,103,36,77,55,0,4,42,194,79,70,245,104,11,247,94,46,829,792,622,41,7,1,25,192,95,126,305,207,558,500,222,221,116,0,1,183,550,3126.577516985794,23145.976839237057,11.15224646983312,0.46188458434221147,13270.454545454546,220023.33333333334,578.7166666666667,6152.333333333333,61807.5,4044.5,4202.4,3776.9166666666665,137533.33333333334,3626.8333333333335,6030.0,3071.5,3184.7272727272725,16214.0,13736.666666666666,14269.0,20966.666666666668,11828.0,509.2228571428572,3616.076923076923,1388.5833333333333,18969.583333333332,69205.0,14107.916666666666,229243.63636363635,596.7666666666668,6324.75,64870.0,3850.5,4407.2,3706.5,140310.0,3543.9166666666665,6073.454545454545,3224.8333333333335,3278.25,16240.833333333334,13884.583333333334,15844.0,21130.833333333332,12937.222222222223,505.525,3657.5,1409.3333333333333,19086.666666666668,72689.16666666667,13593.333333333334,226776.66666666666,606.3538461538462,6357.333333333333,64420.0,3879.3333333333335,4421.5,3780.5,134106.66666666666,3597.8333333333335,6200.166666666667,3294.9166666666665,3250.9166666666665,16229.545454545454,13585.416666666666,14750.5,20992.5,12173.0,514.9599999999999,3675.2,1654.1666666666667,19325.416666666668,72352.5,13592.727272727272,227434.0,611.3714285714286,6501.5,65152.0,3733.0,4489.272727272727,3657.8333333333335,132300.83333333334,3476.3333333333335,6274.666666666667,3356.6666666666665,3313.75,16431.666666666668,13504.166666666666,14926.5,20891.25,12205.5,535.4675,3721.714285714286,1618.5833333333333,19589.583333333332,73189.16666666667
10,2024-03-18 to 2024-03-24,58,49,124,16,64,106,65,140,102,0,15,34,198,138,94,335,185,13,465,88,84,1177,1196,835,78,16,5,33,364,156,178,462,245,841,724,321,339,130,0,4,272,729,2536.6838111298484,20328.81094527363,11.057372400756144,0.3715581470683511,14107.916666666666,229243.63636363635,596.7666666666668,6324.75,64870.0,3850.5,4407.2,3706.5,140310.0,3543.9166666666665,6073.454545454545,3224.8333333333335,3278.25,16240.833333333334,13884.583333333334,15844.0,21130.833333333332,12937.222222222223,505.525,3657.5,1409.3333333333333,19086.666666666668,72689.16666666667,13593.333333333334,226776.66666666666,606.3538461538462,6357.333333333333,64420.0,3879.3333333333335,4421.5,3780.5,134106.66666666666,3597.8333333333335,6200.166666666667,3294.9166666666665,3250.9166666666665,16229.545454545454,13585.416666666666,14750.5,20992.5,12173.0,514.9599999999999,3675.2,1654.1666666666667,19325.416666666668,72352.5,13592.727272727272,227434.0,611.3714285714286,6501.5,65152.0,3733.0,4489.272727272727,3657.8333333333335,132300.83333333334,3476.3333333333335,6274.666666666667,3356.6666666666665,3313.75,16431.666666666668,13504.166666666666,14926.5,20891.25,12205.5,535.4675,3721.714285714286,1618.5833333333333,19589.583333333332,73189.16666666667,13616.363636363636,236052.5,622.9923076923077,7128.0,67337.5,3816.3333333333335,4512.75,3731.5833333333335,137657.5,3526.4166666666665,6203.0,3402.25,3325.5833333333335,16473.333333333332,13811.666666666666,15010.5,21596.666666666668,12487.5,556.27,3759.3846153846152,1742.1000000000001,20024.583333333332,75707.5
11,2024-03-25 to 2024-03-31,35,58,95,7,49,148,59,138,88,1004,13,18,65,173,75,371,179,24,1168,106,81,1963,1991,790,61,84,5,25,1449,245,197,618,479,2269,833,387,281,160,0,4,217,802,1811.364027321022,21857.039100684262,9.690940288263556,0.414093137254902,13593.333333333334,226776.66666666666,606.3538461538462,6357.333333333333,64420.0,3879.3333333333335,4421.5,3780.5,134106.66666666666,3597.8333333333335,6200.166666666667,3294.9166666666665,3250.9166666666665,16229.545454545454,13585.416666666666,14750.5,20992.5,12173.0,514.9599999999999,3675.2,1654.1666666666667,19325.416666666668,72352.5,13592.727272727272,227434.0,611.3714285714286,6501.5,65152.0,3733.0,4489.272727272727,3657.8333333333335,132300.83333333334,3476.3333333333335,6274.666666666667,3356.6666666666665,3313.75,16431.666666666668,13504.166666666666,14926.5,20891.25,12205.5,535.4675,3721.714285714286,1618.5833333333333,19589.583333333332,73189.16666666667,13616.363636363636,236052.5,622.9923076923077,7128.0,67337.5,3816.3333333333335,4512.75,3731.5833333333335,137657.5,3526.4166666666665,6203.0,3402.25,3325.5833333333335,16473.333333333332,13811.666666666666,15010.5,21596.666666666668,12487.5,556.27,3759.3846153846152,1742.1000000000001,20024.583333333332,75707.5,13445.0,260896.66666666666,629.1666666666666,7435.416666666667,68426.66666666667,3861.6666666666665,4551.777777777777,3785.3333333333335,140329.16666666666,3581.8333333333335,6405.166666666667,3481.0,3481.181818181818,16710.416666666668,14027.5,14913.5,22676.666666666668,12159.285714285714,565.7225,3773.3076923076924,2000.2666666666664,20619.166666666668,77247.5
12,2024-04-01 to 2024-04-07,28,62,120,14,64,215,61,177,90,0,11,34,207,160,105,0,266,37,449,116,88,1155,1149,818,81,11,0,10,315,175,183,556,150,1019,599,284,243,146,0,4,231,737,2610.6476729012616,20816.40534979424,10.830280957336107,0.5297278911564626,13592.727272727272,227434.0,611.3714285714286,6501.5,65152.0,3733.0,4489.272727272727,3657.8333333333335,132300.83333333334,3476.3333333333335,6274.666666666667,3356.6666666666665,3313.75,16431.666666666668,13504.166666666666,14926.5,20891.25,12205.5,535.4675,3721.714285714286,1618.5833333333333,19589.583333333332,73189.16666666667,13616.363636363636,236052.5,622.9923076923077,7128.0,67337.5,3816.3333333333335,4512.75,3731.5833333333335,137657.5,3526.4166666666665,6203.0,3402.25,3325.5833333333335,16473.333333333332,13811.666666666666,15010.5,21596.666666666668,12487.5,556.27,3759.3846153846152,1742.1000000000001,20024.583333333332,75707.5,13445.0,260896.66666666666,629.1666666666666,7435.416666666667,68426.66666666667,3861.6666666666665,4551.777777777777,3785.3333333333335,140329.16666666666,3581.8333333333335,6405.166666666667,3481.0,3481.181818181818,16710.416666666668,14027.5,14913.5,22676.666666666668,12159.285714285714,565.7225,3773.3076923076924,2000.2666666666664,20619.166666666668,77247.5,13215.0,277586.6666666667,610.1166666666667,7189.0,71261.66666666667,3907.0,4399.5,3822.5833333333335,145190.83333333334,3648.0,6327.636363636364,3382.4166666666665,3470.1666666666665,16900.833333333332,14278.333333333334,14715.0,22491.25,12164.545454545454,560.24,3706.8333333333335,2255.75,20460.0,79599.16666666667
13,2024-04-08 to 2024-04-14,39,56,122,8,67,141,96,171,78,0,13,46,153,166,108,317,192,18,305,149,83,1158,1170,803,57,9,0,36,381,148,184,516,193,797,753,299,302,156,0,7,273,834,2596.1670962199314,18203.857271095152,11.106981132075472,0.46517165005537103,13616.363636363636,236052.5,622.9923076923077,7128.0,67337.5,3816.3333333333335,4512.75,3731.5833333333335,137657.5,3526.4166666666665,6203.0,3402.25,3325.5833333333335,16473.333333333332,13811.666666666666,15010.5,21596.666666666668,12487.5,556.27,3759.3846153846152,1742.1000000000001,20024.583333333332,75707.5,13445.0,260896.66666666666,629.1666666666666,7435.416666666667,68426.66666666667,3861.6666666666665,4551.777777777777,3785.3333333333335,140329.16666666666,3581.8333333333335,6405.166666666667,3481.0,3481.181818181818,16710.416666666668,14027.5,14913.5,22676.666666666668,12159.285714285714,565.7225,3773.3076923076924,2000.2666666666664,20619.166666666668,77247.5,13215.0,277586.6666666667,610.1166666666667,7189.0,71261.66666666667,3907.0,4399.5,3822.5833333333335,145190.83333333334,3648.0,6327.636363636364,3382.4166666666665,3470.1666666666665,16900.833333333332,14278.333333333334,14715.0,22491.25,12164.545454545454,560.24,3706.8333333333335,2255.75,20460.0,79599.16666666667,13262.857142857143,260865.0,628.6200000000001,7104.75,72210.0,3823.5,4425.25,3816.9166666666665,144423.33333333334,3649.5833333333335,6424.333333333333,3470.0,3682.0833333333335,17202.916666666668,14278.75,14503.0,22951.25,11873.636363636364,554.5,3747.090909090909,2300.316666666667,20449.583333333332,81041.66666666667
14,2024-04-15 to 2024-04-21,32,51,121,11,80,150,49,123,118,0,11,28,205,139,91,282,220,22,441,119,77,1173,1197,848,85,7,2,23,395,141,194,489,185,941,635,311,291,174,0,1,282,830,2739.3575348248205,18908.06828391734,11.58810408921933,0.4746320346320346,13445.0,260896.66666666666,629.1666666666666,7435.416666666667,68426.66666666667,3861.6666666666665,4551.777777777777,3785.3333333333335,140329.16666666666,3581.8333333333335,6405.166666666667,3481.0,3481.181818181818,16710.416666666668,14027.5,14913.5,22676.666666666668,12159.285714285714,565.7225,3773.3076923076924,2000.2666666666664,20619.166666666668,77247.5,13215.0,277586.6666666667,610.1166666666667,7189.0,71261.66666666667,3907.0,4399.5,3822.5833333333335,145190.83333333334,3648.0,6327.636363636364,3382.4166666666665,3470.1666666666665,16900.833333333332,14278.333333333334,14715.0,22491.25,12164.545454545454,560.24,3706.8333333333335,2255.75,20460.0,79599.16666666667,13262.857142857143,260865.0,628.6200000000001,7104.75,72210.0,3823.5,4425.25,3816.9166666666665,144423.33333333334,3649.5833333333335,6424.333333333333,3470.0,3682.0833333333335,17202.916666666668,14278.75,14503.0,22951.25,11873.636363636364,554.5,3747.090909090909,2300.316666666667,20449.583333333332,81041.66666666667,13060.0,263591.6666666667,590.3,7078.166666666667,72646.0,3803.25,4218.727272727273,3861.6666666666665,146439.16666666666,3699.9166666666665,6459.166666666667,3331.0,3756.75,17577.083333333332,14408.333333333334,14426.0,23267.5,11878.0,549.325,3639.214285714286,2300.1,20672.916666666668,81256.66666666667
